system:index,Latitude,Longitude,Year,.geo
00000000000000001919_0,5.995374553601121,-1.7536023535036778,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016f3_0,6.0494436469040345,-1.9150229291208625,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002557_0,5.199631334392378,-1.1236872342548545,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002581_0,5.17788772515414,-1.202214445148708,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000215f_0,5.679373390129817,-2.096958634104765,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002585_0,5.177616462414849,-1.2022152115573412,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016f2_0,6.049446893859656,-1.91664924851292,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002588_0,5.177345199673126,-1.202215977925278,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000016f4_0,6.049443105271452,-1.9147518759753184,14,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000258c_0,5.1770747051536175,-1.2024873095179958,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000253f_0,5.291187324260188,-2.005770860977924,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002579_0,5.178158987891002,-1.2022136786993791,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000172f_0,6.048900424987603,-1.9147529581803209,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001715_0,6.049173930752002,-1.9158366292802795,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000216c_0,5.679101608012118,-2.0966881671743924,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fc_0,6.053545487501611,-1.9310071101749071,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f6_0,6.0535492218204805,-1.93290450719796,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fd_0,6.05354495348618,-1.9307360535546847,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f7_0,6.053548688752337,-1.9326334504074067,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000141c_0,6.053277347051255,-1.932633982971239,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f5_0,6.053549754753296,-1.9331755640128212,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000141b_0,6.053277880095333,-1.9329050396266103,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002558_0,5.199630529020388,-1.1234166713956049,12,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000216b_0,5.679102031339323,-2.0969590566467384,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000141d_0,6.053276813871857,-1.9323629263401811,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fb_0,6.053546021381718,-1.931278166819481,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013dd_0,6.0538157608410055,-1.9304644632891743,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001742_0,6.048630709113437,-1.915566657540801,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001916_0,5.995645878642679,-1.7536017376164643,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000141a_0,6.053278413004088,-1.9331760963062905,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000141e_0,6.053276280557138,-1.9320918697334448,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001714_0,6.049175012751198,-1.9163787355235309,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f8_0,6.053548155548867,-1.932362393641168,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001713_0,6.049175553547958,-1.9166497886821852,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000141f_0,6.053275747107097,-1.9318208131510344,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d8_0,6.053820563542876,-1.9329039747450016,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000001b4_0,5.31505503296518,-0.7596746573195022,3,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001921_0,5.994561194896039,-1.7538752113209135,6,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000003559_0,6.460079036669024,-2.276334772749491,9,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fe_0,6.05354441933542,-1.9304649969588203,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f9_0,6.053547622210072,-1.93209133689925,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001420_0,6.053275213521737,-1.9315497565929576,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001422_0,6.053274145945052,-1.9310076435498271,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013f4_0,6.053550287550784,-1.9334466208519847,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001421_0,6.053274679801056,-1.93127870005922,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013fa_0,6.053547088735946,-1.9318202801816584,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000002589_0,5.177344431292534,-1.2019454125853164,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001423_0,6.053273611953727,-1.930736587064786,15,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000258d_0,5.177073936928972,-1.202216744252519,11,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000001419_0,6.053278945777524,-1.9334471530102728,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000013d9_0,6.053820030450668,-1.9326329178192605,4,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000144e_0,6.053006005347418,-1.932634515510756,16,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000216a_0,5.679102454539597,-2.097229946139603,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000144d_0,6.053006538367431,-1.9329055720309525,17,"{""type"":""MultiPoint"",""coordinates"":[]}"
